ID,Start Node,Stop Node,Label,Diameter (mm),Notes,Length (Scaled) (m),Slope (Calculated) (m/km),Section Type,Manning's n,Flow (m³/h),Velocity (m/s),Capacity (Full Flow) (m³/h),Flow / Capacity (Design) (%),Depth/Rise (%),Is Active?,Population (System Sanitary) (Capita)
5970,MH3464,MH3473,נתוני_קווי_ביוב_אופקים-2171,160,,1.45,-41.492,Circle,0.013,(N/A),(N/A),133,(N/A),(N/A),True,(N/A)
5972,MH4592,MH4618,נתוני_קווי_ביוב_אופקים-8877,110,,2.69,-63.2,Circle,0.013,(N/A),(N/A),60,(N/A),(N/A),True,(N/A)
5976,MH4032,MH3822,נתוני_קווי_ביוב_אופקים-2141,110,,1.48,772.596,Circle,0.013,(N/A),(N/A),211,(N/A),(N/A),True,(N/A)
5988,MH3742,MH3810,נתוני_קווי_ביוב_אופקים-1996,110,,3.23,-133.109,Circle,0.013,(N/A),(N/A),87,(N/A),(N/A),True,(N/A)
6007,MH2796,MH2790,נתוני_קווי_ביוב_אופקים-3707,10,,1.83,62.323,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6018,MH403,MH404,נתוני_קווי_ביוב_אופקים-4362,0,,4.39,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6042,MH3319,MH3222,נתוני_קווי_ביוב_אופקים-3639,10,,4.28,180.693,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6043,MH5442,MH5443,נתוני_קווי_ביוב_אופקים-3406,0,,3.72,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6047,MH2744,MH2746,נתוני_קווי_ביוב_אופקים-2039,110,,4.83,-6.21,Circle,0.013,(N/A),(N/A),19,(N/A),(N/A),True,(N/A)
6051,MH2377,MH2357,נתוני_קווי_ביוב_אופקים-2864,160,,1.76,85.181,Circle,0.013,(N/A),(N/A),190,(N/A),(N/A),True,(N/A)
6080,MH2796,MH2790,נתוני_קווי_ביוב_אופקים-3712,16,,1.83,62.323,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6085,MH4032,MH3822,נתוני_קווי_ביוב_אופקים-1990,110,,1.48,772.596,Circle,0.013,(N/A),(N/A),211,(N/A),(N/A),True,(N/A)
6091,MH1918,MH1911,נתוני_קווי_ביוב_אופקים-3738,10,,2.03,26.068,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6094,MH736,MH737,נתוני_קווי_ביוב_אופקים-7848,0,,1.86,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6096,MH4049,MH4075,נתוני_קווי_ביוב_אופקים-1987,110,,1.94,-72.319,Circle,0.013,(N/A),(N/A),64,(N/A),(N/A),True,(N/A)
6103,MH2658,MH2782,נתוני_קווי_ביוב_אופקים-3706,20,,4.78,-321.02,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6107,MH3445,MH3438,נתוני_קווי_ביוב_אופקים-3654,10,,2.53,12.267,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6120,MH4032,MH3822,נתוני_קווי_ביוב_אופקים-1989,110,,1.48,772.596,Circle,0.013,(N/A),(N/A),211,(N/A),(N/A),True,(N/A)
6147,MH4049,MH4075,נתוני_קווי_ביוב_אופקים-2137,110,,1.94,-72.319,Circle,0.013,(N/A),(N/A),64,(N/A),(N/A),True,(N/A)
6150,MH1979,MH1916,נתוני_קווי_ביוב_אופקים-2968,160,,1.94,325.008,Circle,0.013,(N/A),(N/A),371,(N/A),(N/A),True,(N/A)
6156,MH735,MH736,נתוני_קווי_ביוב_אופקים-7847,0,,1.95,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6159,MH5476,MH5389,נתוני_קווי_ביוב_אופקים-3481,16,,4.2,213.732,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6167,MH4075,MH4049,נתוני_קווי_ביוב_אופקים-1988,110,,1.94,72.319,Circle,0.013,(N/A),(N/A),64,(N/A),(N/A),True,(N/A)
6192,MH2078,MH2071,נתוני_קווי_ביוב_אופקים-4194,20,,2.01,26.368,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6206,MH1918,MH1911,נתוני_קווי_ביוב_אופקים-3764,16,,2.03,26.068,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6209,MH4931,MH4962,נתוני_קווי_ביוב_אופקים-3503,10,,4.86,-33.517,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6215,MH5476,MH5389,נתוני_קווי_ביוב_אופקים-3480,16,,4.2,213.732,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6222,MH2566,MH2540,נתוני_קווי_ביוב_אופקים-2342,6,,2.07,101.645,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6245,MH3438,MH3445,נתוני_קווי_ביוב_אופקים-3221,16,,2.53,-12.267,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6255,MH3751,MH4006,נתוני_קווי_ביוב_אופקים-9564,160,,5.31,-269.408,Circle,0.013,(N/A),(N/A),338,(N/A),(N/A),True,(N/A)
6258,MH2764,MH2773,נתוני_קווי_ביוב_אופקים-9510,110,,5.41,-18.5,Circle,0.013,(N/A),(N/A),33,(N/A),(N/A),True,(N/A)
6259,MH2790,MH2796,נתוני_קווי_ביוב_אופקים-3248,16,,1.83,-62.323,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6262,MH2135,MH2132,נתוני_קווי_ביוב_אופקים-3040,4,,2.14,23.34,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6264,MH2799,MH347,נתוני_קווי_ביוב_אופקים-3249,16,,3.59,36300.63,Circle,0.013,(N/A),(N/A),8,(N/A),(N/A),True,(N/A)
6267,MH4962,MH4931,נתוני_קווי_ביוב_אופקים-3501,10,,4.86,33.517,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6276,MH2303,MH2495,נתוני_קווי_ביוב_אופקים-4539,0,,4.96,-330.666,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6279,MH2205,MH2270,נתוני_קווי_ביוב_אופקים-3136,0,,2.16,-245.396,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6316,MH5419,MH5404,נתוני_קווי_ביוב_אופקים-3355,16,,3.5,33.996,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6376,MH5404,MH5419,נתוני_קווי_ביוב_אופקים-3356,16,,3.5,-33.996,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6382,MH514,MH782,נתוני_קווי_ביוב_אופקים-4570,6,,3.54,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6386,MH1992,MH1973,נתוני_קווי_ביוב_אופקים-2419,6,,2.35,67.951,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6398,MH3798,MH3817,נתוני_קווי_ביוב_אופקים-3187,16,,4.55,-25.511,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6416,MH744,MH5294,נתוני_קווי_ביוב_אופקים-7851,160,,3.8,-38895.259,Circle,0.013,(N/A),(N/A),4061,(N/A),(N/A),True,(N/A)
6434,MH5454,MH5457,נתוני_קווי_ביוב_אופקים-3399,16,,4.36,-4.586,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6457,MH1752,MH1730,נתוני_קווי_ביוב_אופקים-2629,160,,2.45,109.984,Circle,0.013,(N/A),(N/A),216,(N/A),(N/A),True,(N/A)
6459,MH5457,MH5454,נתוני_קווי_ביוב_אופקים-3401,16,,4.36,4.586,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6481,MH3817,MH3798,נתוני_קווי_ביוב_אופקים-3188,10,,4.55,25.511,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6484,MH3810,MH3742,נתוני_קווי_ביוב_אופקים-1995,110,,3.23,133.109,Circle,0.013,(N/A),(N/A),87,(N/A),(N/A),True,(N/A)
6496,MH325,MH5200,נתוני_קווי_ביוב_אופקים-3557,0,,2.51,-58598.905,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6501,MH2121,MH2058,נתוני_קווי_ביוב_אופקים-2972,160,,2.53,229.636,Circle,0.013,(N/A),(N/A),312,(N/A),(N/A),True,(N/A)
6502,MH3445,MH3438,נתוני_קווי_ביוב_אופקים-3811,16,,2.53,12.267,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6517,MH3870,MH3860,נתוני_קווי_ביוב_אופקים-9535,160,,1.28,31.317,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
6525,MH902,MH1200,נתוני_קווי_ביוב_אופקים-8921,0,,4.12,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6535,MH1858,MH1804,נתוני_קווי_ביוב_אופקים-2689,160,,2.59,185.519,Circle,0.013,(N/A),(N/A),280,(N/A),(N/A),True,(N/A)
6542,MH1969,MH1947,נתוני_קווי_ביוב_אופקים-2423,6,,2.6,76.851,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6550,MH3870,MH3860,נתוני_קווי_ביוב_אופקים-9534,160,,1.28,31.317,Circle,0.013,(N/A),(N/A),115,(N/A),(N/A),True,(N/A)
6554,MH4015,MH3781,נתוני_קווי_ביוב_אופקים-3192,10,,4.39,293.687,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6586,MH4592,MH4618,נתוני_קווי_ביוב_אופקים-8812,200,,2.69,-63.2,Circle,0.013,(N/A),(N/A),297,(N/A),(N/A),True,(N/A)
6598,MH2028,MH2020,נתוני_קווי_ביוב_אופקים-2933,160,,2.72,44.196,Circle,0.013,(N/A),(N/A),137,(N/A),(N/A),True,(N/A)
6617,MH1878,MH1835,נתוני_קווי_ביוב_אופקים-2651,6,,2.8,117.949,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6618,MH2941,MH2918,נתוני_קווי_ביוב_אופקים-3681,10,,2.8,92.555,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6627,MH2523,MH1678,נתוני_קווי_ביוב_אופקים-788,0,,4.54,1911.748,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6631,MH2167,MH2101,נתוני_קווי_ביוב_אופקים-2982,110,,4.4,133.979,Circle,0.013,(N/A),(N/A),88,(N/A),(N/A),True,(N/A)
6640,MH2916,MH2812,נתוני_קווי_ביוב_אופקים-5517,160,,2.88,444.062,Circle,0.013,(N/A),(N/A),434,(N/A),(N/A),True,(N/A)
6642,MH2447,MH2377,נתוני_קווי_ביוב_אופקים-2862,160,,2.89,232.121,Circle,0.013,(N/A),(N/A),314,(N/A),(N/A),True,(N/A)
6646,MH1896,MH1825,נתוני_קווי_ביוב_אופקים-2687,110,,2.9,186.011,Circle,0.013,(N/A),(N/A),103,(N/A),(N/A),True,(N/A)
6656,MH2410,MH2283,נתוני_קווי_ביוב_אופקים-1374,160,,2.94,371.306,Circle,0.013,(N/A),(N/A),397,(N/A),(N/A),True,(N/A)
6660,MH4627,MH4647,נתוני_קווי_ביוב_אופקים-8823,200,,2.95,-27.146,Circle,0.013,(N/A),(N/A),195,(N/A),(N/A),True,(N/A)
6661,MH5457,MH5454,נתוני_קווי_ביוב_אופקים-3400,16,,4.36,4.586,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6663,MH2198,MH2145,נתוני_קווי_ביוב_אופקים-2995,110,,4.35,85.004,Circle,0.013,(N/A),(N/A),70,(N/A),(N/A),True,(N/A)
6666,MH1923,MH1898,נתוני_קווי_ביוב_אופקים-4149,0,,3.99,51.382,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6669,MH2387,MH2357,נתוני_קווי_ביוב_אופקים-2863,160,,2.98,77.16,Circle,0.013,(N/A),(N/A),181,(N/A),(N/A),True,(N/A)
6670,MH3039,MH2825,נתוני_קווי_ביוב_אופקים-1336,160,,3.0,840.432,Circle,0.013,(N/A),(N/A),597,(N/A),(N/A),True,(N/A)
6676,MH2288,MH2286,נתוני_קווי_ביוב_אופקים-3005,110,,3.43,5.823,Circle,0.013,(N/A),(N/A),18,(N/A),(N/A),True,(N/A)
6677,MH1949,MH1869,נתוני_קווי_ביוב_אופקים-2678,110,,3.04,220.734,Circle,0.013,(N/A),(N/A),113,(N/A),(N/A),True,(N/A)
6678,MH2266,MH2136,נתוני_קווי_ביוב_אופקים-4978,160,,3.04,351.934,Circle,0.013,(N/A),(N/A),386,(N/A),(N/A),True,(N/A)
6679,MH2366,MH2338,נתוני_קווי_ביוב_אופקים-2215,6,,4.55,52.703,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6682,MH3237,MH3204,נתוני_קווי_ביוב_אופקים-3676,16,,3.06,84.184,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6685,MH735,MH1583,נתוני_קווי_ביוב_אופקים-7845,0,,3.07,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6690,MH2118,MH2074,נתוני_קווי_ביוב_אופקים-3162,0,,3.99,100.166,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6699,MH171,MH170,נתוני_קווי_ביוב_אופקים-7685,110,,3.14,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6704,MH3464,MH3473,נתוני_קווי_ביוב_אופקים-2169,160,,1.45,-41.492,Circle,0.013,(N/A),(N/A),133,(N/A),(N/A),True,(N/A)
6705,MH1466,MH1468,נתוני_קווי_ביוב_אופקים-3139,0,,3.15,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6710,MH2030,MH2010,נתוני_קווי_ביוב_אופקים-2009,6,,3.16,75.926,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6711,MH2030,MH2010,נתוני_קווי_ביוב_אופקים-2016,6,,3.16,75.926,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6712,MH2030,MH2010,נתוני_קווי_ביוב_אופקים-2410,6,,3.16,75.926,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6731,MH3810,MH3742,נתוני_קווי_ביוב_אופקים-2138,110,,3.23,133.109,Circle,0.013,(N/A),(N/A),87,(N/A),(N/A),True,(N/A)
6733,MH3064,MH2928,נתוני_קווי_ביוב_אופקים-752,200,,3.23,454.629,Circle,0.013,(N/A),(N/A),796,(N/A),(N/A),True,(N/A)
6738,MH2045,MH2017,נתוני_קווי_ביוב_אופקים-2003,160,,3.25,107.622,Circle,0.013,(N/A),(N/A),214,(N/A),(N/A),True,(N/A)
6739,MH2045,MH2017,נתוני_קווי_ביוב_אופקים-2226,160,,3.25,107.622,Circle,0.013,(N/A),(N/A),214,(N/A),(N/A),True,(N/A)
6740,MH2045,MH2017,נתוני_קווי_ביוב_אופקים-2010,160,,3.25,107.622,Circle,0.013,(N/A),(N/A),214,(N/A),(N/A),True,(N/A)
6743,MH2715,MH2653,נתוני_קווי_ביוב_אופקים-4160,16,,3.52,196.93,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6749,MH2096,MH2034,נתוני_קווי_ביוב_אופקים-2004,6,,3.29,176.347,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6750,MH2096,MH2034,נתוני_קווי_ביוב_אופקים-2011,6,,3.29,176.347,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6751,MH2096,MH2034,נתוני_קווי_ביוב_אופקים-2402,6,,3.29,176.347,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6752,MH3742,MH3810,נתוני_קווי_ביוב_אופקים-1994,110,,3.23,-133.109,Circle,0.013,(N/A),(N/A),87,(N/A),(N/A),True,(N/A)
6758,MH1858,MH1804,נתוני_קווי_ביוב_אופקים-3165,0,,2.59,185.519,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6762,MH2004,MH1989,נתוני_קווי_ביוב_אופקים-2414,6,,3.32,57.257,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6763,MH1695,MH444,נתוני_קווי_ביוב_אופקים-4173,0,,3.32,35910.267,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6766,MH2167,MH2101,נתוני_קווי_ביוב_אופקים-2981,110,,4.4,133.979,Circle,0.013,(N/A),(N/A),88,(N/A),(N/A),True,(N/A)
6772,MH2288,MH2286,נתוני_קווי_ביוב_אופקים-3004,110,,3.43,5.823,Circle,0.013,(N/A),(N/A),18,(N/A),(N/A),True,(N/A)
6776,MH526,MH3003,נתוני_קווי_ביוב_אופקים-4428,160,,3.38,-39351.575,Circle,0.013,(N/A),(N/A),4085,(N/A),(N/A),True,(N/A)
6779,MH1921,MH1906,נתוני_קווי_ביוב_אופקים-2428,8,,3.4,41.234,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6780,MH5402,MH5277,נתוני_קווי_ביוב_אופקים-4129,16,,3.4,328.204,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6785,MH2286,MH2288,נתוני_קווי_ביוב_אופקים-3006,110,,3.43,-5.823,Circle,0.013,(N/A),(N/A),18,(N/A),(N/A),True,(N/A)
6788,MH2288,MH2286,נתוני_קווי_ביוב_אופקים-3007,250,,3.43,5.823,Circle,0.013,(N/A),(N/A),163,(N/A),(N/A),True,(N/A)
6798,MH361,MH3558,נתוני_קווי_ביוב_אופקים-3878,35,,3.46,-39665.187,Circle,0.013,(N/A),(N/A),71,(N/A),(N/A),True,(N/A)
6810,MH5419,MH5404,נתוני_קווי_ביוב_אופקים-4071,20,,3.5,33.996,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6816,MH2715,MH2653,נתוני_קווי_ביוב_אופקים-3744,16,,3.52,196.93,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6817,MH782,MH514,נתוני_קווי_ביוב_אופקים-7864,0,,3.54,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6824,MH2854,MH2771,נתוני_קווי_ביוב_אופקים-725,160,,3.56,289.641,Circle,0.013,(N/A),(N/A),350,(N/A),(N/A),True,(N/A)
6827,MH2141,MH2113,נתוני_קווי_ביוב_אופקים-2987,6,,3.57,83.987,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6839,MH347,MH2799,נתוני_קווי_ביוב_אופקים-3682,10,,3.59,-36300.63,Circle,0.013,(N/A),(N/A),2,(N/A),(N/A),True,(N/A)
6841,MH1857,MH1787,נתוני_קווי_ביוב_אופקים-2697,160,,3.59,178.035,Circle,0.013,(N/A),(N/A),275,(N/A),(N/A),True,(N/A)
6847,MH2155,MH2066,נתוני_קווי_ביוב_אופקים-2978,6,,3.61,238.335,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6865,MH1692,MH1668,נתוני_קווי_ביוב_אופקים-2829,6,,3.66,193.846,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6867,MH2240,MH2189,נתוני_קווי_ביוב_אופקים-2996,110,,4.33,96.948,Circle,0.013,(N/A),(N/A),75,(N/A),(N/A),True,(N/A)
6869,MH1059,MH1318,נתוני_קווי_ביוב_אופקים-5134,6,,3.68,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6873,MH1988,MH1968,נתוני_קווי_ביוב_אופקים-2470,6,,3.7,56.754,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6877,MH5442,MH5443,נתוני_קווי_ביוב_אופקים-3525,16,,3.72,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6881,MH2198,MH2145,נתוני_קווי_ביוב_אופקים-2994,110,,4.35,85.004,Circle,0.013,(N/A),(N/A),70,(N/A),(N/A),True,(N/A)
6883,MH1093,MH1044,נתוני_קווי_ביוב_אופקים-9752,160,,4.78,0.0,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
6897,MH744,MH5294,נתוני_קווי_ביוב_אופקים-3479,160,,3.8,-38895.259,Circle,0.013,(N/A),(N/A),4061,(N/A),(N/A),True,(N/A)
6910,MH4309,MH4281,נתוני_קווי_ביוב_אופקים-8811,200,,3.84,33.833,Circle,0.013,(N/A),(N/A),217,(N/A),(N/A),True,(N/A)
6921,MH1857,MH1794,נתוני_קווי_ביוב_אופקים-2657,4,,3.41,158.445,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6928,MH1896,MH1825,נתוני_קווי_ביוב_אופקים-2683,110,,2.9,186.011,Circle,0.013,(N/A),(N/A),103,(N/A),(N/A),True,(N/A)
6933,MH2824,MH2816,נתוני_קווי_ביוב_אופקים-744,160,,3.92,25.49,Circle,0.013,(N/A),(N/A),104,(N/A),(N/A),True,(N/A)
6939,MH2028,MH2020,נתוני_קווי_ביוב_אופקים-2932,110,,2.72,44.196,Circle,0.013,(N/A),(N/A),50,(N/A),(N/A),True,(N/A)
6947,MH1923,MH1898,נתוני_קווי_ביוב_אופקים-3785,16,,3.99,51.382,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6951,MH2118,MH2074,נתוני_קווי_ביוב_אופקים-2980,6,,3.99,100.166,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6954,MH2157,MH2127,נתוני_קווי_ביוב_אופקים-2990,6,,4.0,77.427,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6963,MH2048,MH2030,נתוני_קווי_ביוב_אופקים-2015,6,,4.02,54.672,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6964,MH2048,MH2030,נתוני_קווי_ביוב_אופקים-2008,6,,4.02,54.672,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6965,MH2048,MH2030,נתוני_קווי_ביוב_אופקים-2409,6,,4.02,54.672,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6969,MH2261,MH2210,נתוני_קווי_ביוב_אופקים-3003,6,,4.04,98.955,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6976,MH1699,MH1684,נתוני_קווי_ביוב_אופקים-2581,18,,4.07,63.899,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6988,MH4392,MH4375,נתוני_קווי_ביוב_אופקים-678,160,,4.1,29.298,Circle,0.013,(N/A),(N/A),111,(N/A),(N/A),True,(N/A)
6991,MH1664,MH1668,נתוני_קווי_ביוב_אופקים-2654,4,,4.11,-38.967,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
6994,MH2221,MH2172,נתוני_קווי_ביוב_אופקים-2928,160,,4.11,94.838,Circle,0.013,(N/A),(N/A),201,(N/A),(N/A),True,(N/A)
7001,MH2250,MH2286,נתוני_קווי_ביוב_אופקים-3008,6,,4.12,-70.38,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
7024,MH5476,MH5389,נתוני_קווי_ביוב_אופקים-3522,16,,4.2,213.732,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
7056,MH3319,MH3222,נתוני_קווי_ביוב_אופקים-3798,16,,4.28,180.693,Circle,0.013,(N/A),(N/A),1,(N/A),(N/A),True,(N/A)
7066,MH1005,MH1006,נתוני_קווי_ביוב_אופקים-9689,0,,6.78,0.0,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
7072,MH340,MH3968,נתוני_קווי_ביוב_אופקים-3958,0,,4.32,-32406.958,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
7075,MH2357,MH2377,נתוני_קווי_ביוב_אופקים-2861,110,,1.76,-85.181,Circle,0.013,(N/A),(N/A),70,(N/A),(N/A),True,(N/A)
7076,MH2240,MH2189,נתוני_קווי_ביוב_אופקים-2998,6,,4.33,96.948,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
7082,MH3428,MH3371,נתוני_קווי_ביוב_אופקים-703,160,,4.35,101.125,Circle,0.013,(N/A),(N/A),207,(N/A),(N/A),True,(N/A)
7083,MH2198,MH2145,נתוני_קווי_ביוב_אופקים-2993,6,,4.35,85.004,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
7087,MH5457,MH5454,נתוני_קווי_ביוב_אופקים-3275,16,,4.36,4.586,Circle,0.013,(N/A),(N/A),0,(N/A),(N/A),True,(N/A)
